day_of_week,max,visib,prcp,rain_drizzle,crime_count
4,61.76666666666667,10.0,0.0,0.0,0.9773371104815864
5,60.76666666666667,10.0,0.0,0.0,0.7195467422096318
6,58.833333333333336,9.6,0.01,1.0,0.46458923512747874
7,58.26666666666667,9.733333333333333,0.015,1.0,0.3087818696883853
1,60.03333333333333,7.333333333333333,0.0,0.0,0.5949008498583569
2,67.39999999999999,7.133333333333333,0.0,1.0,0.5864022662889519
3,71.46666666666665,7.833333333333333,0.0,0.0,0.49008498583569404
4,78.10000000000001,9.966666666666669,0.0,0.0,0.44192634560906513
5,78.10000000000001,9.833333333333334,0.05,1.0,0.7082152974504249
6,65.83333333333333,9.8,0.0,0.0,0.5212464589235127
7,79.0,10.0,0.0,0.0,0.5382436260623229
1,79.0,10.0,0.0,0.0,0.5297450424929179
2,75.3,10.0,0.0,0.0,0.5552407932011332
3,63.56666666666666,10.0,0.0,0.0,0.6203966005665722
4,69.76666666666667,10.0,0.0,0.0,0.7677053824362606
5,69.76666666666667,9.966666666666669,0.0,0.0,0.5354107648725213
6,55.3,10.0,0.0,0.0,0.45609065155807366
7,60.03333333333333,10.0,0.0,0.0,0.36827195467422097
1,73.06666666666666,10.0,0.0,0.0,0.6883852691218131
2,75.96666666666667,10.0,0.0,0.0,0.6798866855524079
3,76.39999999999999,9.966666666666669,0.0766666666666666,1.0,0.7053824362606232
4,76.39999999999999,10.0,0.0033333333333333,0.0,0.6487252124645893
5,62.9,9.966666666666669,0.0,1.0,0.6572237960339944
6,67.39999999999999,9.233333333333333,0.1566666666666666,1.0,0.623229461756374
7,67.39999999999999,9.866666666666667,0.265,0.0,0.5184135977337111
1,62.5,10.0,0.0,0.0,0.6685552407932012
2,61.833333333333336,9.833333333333334,0.0033333333333333,1.0,0.3002832861189802
3,57.3,5.733333333333333,0.4866666666666666,1.0,0.3881019830028329
4,57.3,10.0,0.1,1.0,0.35127478753541075
5,56.23333333333333,9.966666666666669,0.0,1.0,0.6543909348441926
6,56.23333333333333,7.566666666666666,0.14,1.0,0.4985835694050991
6,64.8,8.433333333333332,0.0966666666666666,1.0,0.8984615384615384
7,66.43333333333334,7.766666666666667,0.87,0.0,0.42153846153846153
1,66.2,9.866666666666667,0.01,0.0,0.6215384615384615
2,75.43333333333334,10.0,0.0,0.0,0.5323076923076923
3,80.96666666666665,10.0,0.0,0.0,0.7230769230769231
4,78.03333333333333,8.533333333333333,0.2533333333333333,1.0,0.5661538461538461
5,73.13333333333334,9.866666666666667,0.2933333333333333,0.0,0.9015384615384615
6,66.56666666666666,10.0,0.0,0.0,0.4461538461538462
7,64.23333333333333,9.833333333333334,0.0,0.0,0.3446153846153846
1,71.73333333333333,10.0,0.0,0.0,0.47384615384615386
2,74.7,10.0,0.0,1.0,0.39076923076923076
3,69.7,9.033333333333331,0.04,1.0,0.5415384615384615
4,61.53333333333333,9.9,0.32,1.0,0.38153846153846155
5,66.73333333333333,9.733333333333333,0.0,0.0,0.7723076923076924
6,70.0,8.799999999999999,0.0,1.0,0.7784615384615384
7,71.5,9.066666666666666,0.29,1.0,0.676923076923077
1,82.93333333333334,9.966666666666669,0.03,0.0,0.76
2,80.76666666666667,10.0,0.0,0.0,0.6276923076923077
3,72.63333333333334,9.233333333333333,0.0,0.0,0.4369230769230769
4,64.83333333333333,10.0,0.01,1.0,0.4523076923076923
5,54.6,9.933333333333334,0.0,0.0,0.5846153846153846
6,60.333333333333336,10.0,0.0133333333333333,0.0,0.6276923076923077
7,72.89999999999999,9.933333333333334,0.0,0.0,0.6615384615384615
1,68.10000000000001,10.0,0.0,0.0,0.6153846153846154
2,54.56666666666666,9.966666666666669,0.0,1.0,0.5107692307692308
3,51.46666666666667,8.033333333333333,0.2433333333333333,1.0,0.39692307692307693
4,51.93333333333334,7.266666666666667,0.7966666666666667,1.0,0.49538461538461537
5,63.56666666666667,9.466666666666669,0.0,0.0,0.7138461538461538
6,72.43333333333334,9.933333333333334,0.0,0.0,0.803076923076923
7,67.36666666666666,9.433333333333334,0.2933333333333333,1.0,0.6646153846153846
1,58.63333333333333,10.0,0.0,0.0,0.9138461538461539
7,71.5,10.0,0.0,0.0,0.8585526315789473
1,82.73333333333333,10.0,0.0,0.0,0.5296052631578947
2,80.7,9.766666666666667,0.0,0.0,0.48355263157894735
3,75.36666666666666,9.533333333333331,0.06,1.0,0.4967105263157895
4,76.56666666666666,10.0,0.03,0.0,0.5131578947368421
5,73.66666666666667,5.733333333333333,0.1266666666666666,1.0,0.5164473684210527
6,80.5,9.166666666666666,0.1133333333333333,1.0,0.3980263157894737
7,79.06666666666666,10.0,0.4033333333333333,0.0,0.41776315789473684
1,81.33333333333333,9.766666666666667,0.0,0.0,0.5098684210526315
2,69.26666666666667,9.5,0.0133333333333333,1.0,0.3684210526315789
3,62.7,6.233333333333333,1.0733333333333337,1.0,0.08552631578947369
4,60.26666666666667,9.4,0.12,1.0,0.5723684210526315
5,73.60000000000001,8.633333333333333,0.0,0.0,0.5855263157894737
6,72.0,6.5,0.38,1.0,0.18421052631578946
7,67.46666666666667,8.799999999999999,3.5766666666666667,1.0,0.15789473684210525
1,64.36666666666666,10.0,0.17,0.0,0.5657894736842105
2,70.43333333333334,10.0,0.0,0.0,0.42105263157894735
3,70.66666666666667,10.0,0.0,0.0,0.6019736842105263
4,69.16666666666667,9.833333333333334,0.0,0.0,0.6019736842105263
5,78.76666666666667,10.0,0.0,0.0,0.8486842105263158
6,77.5,10.0,0.0,0.0,0.7335526315789473
7,72.2,8.833333333333334,0.0366666666666666,1.0,0.4868421052631579
1,54.3,7.766666666666667,1.1966666666666663,1.0,0.4901315789473684
2,53.1,8.9,0.5266666666666667,1.0,0.3223684210526316
3,52.8,10.0,0.3866666666666666,0.0,0.40460526315789475
4,59.9,10.0,0.0,0.0,0.5394736842105263
5,57.86666666666667,10.0,0.0,0.0,0.75
6,45.46666666666667,9.6,0.0,1.0,0.4144736842105263
7,45.96666666666667,10.0,0.0033333333333333,0.0,0.34539473684210525
1,50.36666666666667,10.0,0.0,0.0,0.3848684210526316
2,44.43333333333334,10.0,0.0,0.0,0.5493421052631579
2,74.2,9.3,1.475,1.0,0.44285714285714284
3,87.76666666666667,9.866666666666667,0.0633333333333333,0.0,0.32571428571428573
4,84.96666666666667,9.933333333333334,0.05,1.0,0.38857142857142857
5,65.7,8.266666666666667,0.2866666666666667,1.0,0.26571428571428574
6,72.2,7.033333333333334,1.0533333333333337,1.0,0.4685714285714286
7,64.0,8.333333333333334,0.1333333333333333,1.0,0.44571428571428573
1,84.66666666666667,6.233333333333333,0.6699999999999999,1.0,0.5171428571428571
2,85.26666666666667,10.0,0.09,0.0,0.5257142857142857
3,80.96666666666667,9.333333333333334,0.2666666666666666,1.0,0.46285714285714286
4,70.7,10.0,0.4866666666666666,0.0,0.3342857142857143
5,47.833333333333336,9.966666666666669,0.0,1.0,0.4142857142857143
6,52.833333333333336,8.566666666666666,0.0,0.0,0.52
7,57.26666666666667,9.633333333333333,0.0,0.0,0.4
1,53.86666666666667,8.700000000000001,0.17,1.0,0.4085714285714286
2,58.03333333333333,9.966666666666669,0.06,0.0,0.3
3,54.93333333333334,10.0,0.0,0.0,0.3657142857142857
4,57.8,10.0,0.0,0.0,0.4657142857142857
5,56.6,9.433333333333332,0.0066666666666666,1.0,0.5828571428571429
6,53.56666666666666,10.0,0.045,1.0,0.6971428571428572
7,50.36666666666667,10.0,0.0,0.0,0.2342857142857143
1,63.06666666666666,10.0,0.0,0.0,0.44
2,57.6,10.0,0.0,0.0,0.49714285714285716
3,52.23333333333333,10.0,0.0,0.0,0.6942857142857143
4,51.833333333333336,10.0,0.0,0.0,0.4542857142857143
5,52.833333333333336,10.0,0.0,0.0,0.7628571428571429
6,53.333333333333336,9.866666666666667,0.0,1.0,0.6457142857142857
7,52.73333333333333,7.866666666666667,0.1233333333333333,1.0,0.44285714285714284
1,55.8,9.933333333333334,0.0133333333333333,1.0,0.46
2,67.16666666666667,9.433333333333334,0.0,0.0,0.5857142857142857
3,66.8,7.399999999999999,0.54,1.0,0.9228571428571428
2,87.26666666666667,9.966666666666669,0.0,0.0,1.0
3,82.63333333333334,7.599999999999999,0.03,1.0,0.5486725663716814
4,69.33333333333333,7.8,1.1566666666666665,1.0,0.5486725663716814
5,58.46666666666667,10.0,0.25,0.0,0.5073746312684366
6,64.26666666666667,9.7,0.0433333333333333,1.0,0.528023598820059
7,68.06666666666666,10.0,0.1933333333333333,1.0,0.37168141592920356
1,70.13333333333333,10.0,0.0,0.0,0.5958702064896755
2,70.43333333333334,10.0,0.0,0.0,0.49557522123893805
3,71.13333333333334,10.0,0.0,0.0,0.56047197640118
4,70.36666666666666,9.866666666666667,0.0333333333333333,1.0,0.30678466076696165
5,69.93333333333332,8.866666666666667,0.1066666666666666,1.0,0.5457227138643068
6,58.63333333333333,9.9,0.43,0.0,0.5545722713864307
7,56.0,10.0,0.0,0.0,0.45132743362831856
1,54.36666666666667,10.0,0.0,0.0,0.41887905604719766
2,65.06666666666666,9.733333333333333,0.0,1.0,0.5899705014749262
3,61.8,10.0,0.0033333333333333,0.0,0.5811209439528023
4,54.36666666666667,9.933333333333334,0.0,0.0,0.3893805309734513
5,59.5,9.633333333333333,0.0,0.0,0.471976401179941
6,69.03333333333333,10.0,0.0,0.0,0.5132743362831859
7,64.63333333333334,9.5,0.0,1.0,0.5191740412979351
1,67.33333333333333,7.166666666666667,0.0,1.0,0.49557522123893805
2,62.06666666666667,9.933333333333334,0.0533333333333333,1.0,0.3421828908554572
3,59.06666666666666,10.0,0.02,0.0,0.46017699115044247
4,58.26666666666667,10.0,0.015,1.0,0.5073746312684366
5,49.86666666666667,10.0,0.0,0.0,0.6106194690265486
6,48.43333333333334,7.333333333333333,0.48,1.0,0.04424778761061947
7,58.333333333333336,7.566666666666666,1.6366666666666667,1.0,0.46607669616519176
1,56.53333333333333,9.266666666666667,0.0233333333333333,0.0,0.3421828908554572
2,48.13333333333333,7.066666666666666,0.0966666666666666,1.0,0.26843657817109146
3,43.23333333333333,6.333333333333333,0.3833333333333333,1.0,0.10029498525073746
4,42.2,2.966666666666667,0.42,1.0,0.13274336283185842
