day_of_week,temp,rain_drizzle,crime_count
7,80.10000000000001,0.0,0.7847025495750708
1,76.33333333333333,1.0,0.5212464589235127
2,72.53333333333335,0.0,0.6118980169971672
3,72.73333333333333,0.0,0.6430594900849859
4,73.73333333333333,0.0,0.7478753541076487
5,73.8,0.0,0.8328611898016998
6,75.93333333333334,0.0,0.8611898016997167
7,72.3,1.0,0.56657223796034
1,75.60000000000001,1.0,0.7478753541076487
2,72.96666666666667,0.0,0.6968838526912181
3,71.2,0.0,0.6090651558073654
4,73.26666666666667,0.0,0.6770538243626062
5,77.8,0.0,0.7450424929178471
6,76.3,1.0,0.7960339943342776
7,78.43333333333334,0.0,0.9065155807365439
1,78.39999999999999,1.0,0.5552407932011332
2,74.03333333333333,1.0,0.6147308781869688
3,72.66666666666667,1.0,0.7025495750708215
4,65.76666666666667,1.0,0.8356940509915014
5,68.83333333333333,0.0,0.886685552407932
6,72.23333333333333,0.0,0.8498583569405099
7,71.89999999999999,1.0,0.7393767705382436
1,65.83333333333333,0.0,0.5070821529745042
2,64.3,0.0,0.6288951841359773
3,62.833333333333336,0.0,0.6997167138810199
4,63.76666666666667,0.0,0.6203966005665722
5,66.33333333333333,0.0,0.7393767705382436
6,68.86666666666666,1.0,0.6118980169971672
7,69.63333333333334,1.0,0.7223796033994334
1,72.10000000000001,0.0,0.56657223796034
1,74.53333333333335,0.0,0.963076923076923
2,77.5,0.0,0.6861538461538461
3,79.7,0.0,0.6215384615384615
4,81.0,0.0,0.6861538461538461
5,78.5,1.0,0.9015384615384615
6,75.56666666666666,0.0,0.7938461538461539
7,73.8,0.0,0.8246153846153846
1,77.06666666666666,0.0,0.72
2,77.56666666666666,0.0,0.47692307692307695
3,80.43333333333334,0.0,0.4676923076923077
4,82.39999999999999,0.0,0.8676923076923077
5,80.39999999999999,1.0,0.5415384615384615
6,77.39999999999999,1.0,0.7907692307692308
7,76.43333333333334,0.0,0.84
1,73.39999999999999,1.0,0.8430769230769231
2,75.63333333333334,1.0,0.7569230769230769
3,76.86666666666666,0.0,0.8984615384615384
4,76.8,1.0,0.6061538461538462
5,74.56666666666666,1.0,0.6861538461538461
6,74.43333333333334,1.0,0.8430769230769231
7,66.89999999999999,0.0,0.6646153846153846
1,67.16666666666667,0.0,0.48615384615384616
2,70.63333333333333,0.0,0.563076923076923
3,75.03333333333335,1.0,0.7784615384615384
4,76.4,1.0,0.6153846153846154
5,73.0,0.0,0.7169230769230769
6,74.56666666666666,1.0,0.7661538461538462
7,76.83333333333333,0.0,0.7230769230769231
1,76.7,1.0,0.9661538461538461
2,76.73333333333333,1.0,0.5753846153846154
3,73.43333333333334,0.0,0.6461538461538462
3,75.8,0.0,0.6019736842105263
4,75.0,1.0,0.8486842105263158
7,69.8,0.0,0.9013157894736842
1,68.93333333333334,0.0,0.5986842105263158
2,68.8,0.0,0.5822368421052632
3,72.3,0.0,0.5855263157894737
4,73.23333333333333,0.0,0.6546052631578947
5,72.39999999999999,0.0,0.5723684210526315
6,68.56666666666668,0.0,0.7302631578947368
7,67.66666666666667,0.0,0.45723684210526316
1,72.13333333333334,0.0,0.7368421052631579
2,74.96666666666667,0.0,0.6710526315789473
3,75.39999999999999,1.0,0.6710526315789473
4,77.39999999999999,1.0,0.5822368421052632
5,74.36666666666666,0.0,0.881578947368421
6,73.86666666666666,0.0,0.9901315789473685
7,74.83333333333333,1.0,0.6085526315789473
1,78.23333333333333,1.0,0.5361842105263158
2,74.93333333333334,1.0,0.6217105263157895
3,68.8,0.0,0.5131578947368421
4,65.93333333333334,0.0,0.6907894736842105
5,63.06666666666667,0.0,0.5953947368421053
6,66.5,0.0,0.618421052631579
7,68.83333333333333,1.0,0.5427631578947368
1,69.43333333333334,1.0,0.3190789473684211
2,68.36666666666667,1.0,0.4375
3,69.36666666666666,0.0,0.6480263157894737
4,69.26666666666667,0.0,0.4769736842105263
4,75.8,0.0,0.8342857142857143
5,75.3,0.0,0.94
6,81.2,0.0,0.9771428571428571
7,83.16666666666667,0.0,0.8514285714285714
1,78.2,1.0,0.6885714285714286
2,75.43333333333334,1.0,0.6371428571428571
3,73.5,1.0,0.6571428571428571
4,76.8,0.0,0.5914285714285714
5,76.5,1.0,0.8457142857142858
6,77.23333333333333,0.0,0.8514285714285714
7,77.60000000000001,0.0,0.8028571428571428
1,76.0,0.0,0.7485714285714286
2,78.06666666666666,0.0,0.7628571428571429
3,78.53333333333333,0.0,0.68
4,76.56666666666666,0.0,0.7828571428571428
5,74.56666666666666,1.0,0.7057142857142857
6,74.89999999999999,0.0,1.0
7,74.93333333333334,0.0,0.66
1,74.66666666666667,1.0,0.5314285714285715
2,71.96666666666665,1.0,0.45714285714285713
3,69.89999999999999,0.0,0.8257142857142857
4,68.93333333333334,0.0,0.4742857142857143
5,67.26666666666667,1.0,0.6514285714285715
6,71.23333333333333,1.0,0.7857142857142857
7,81.26666666666667,0.0,0.6571428571428571
1,84.63333333333334,0.0,0.7514285714285714
2,82.03333333333333,1.0,0.6857142857142857
3,71.8,1.0,0.54
4,67.43333333333334,0.0,0.74
5,70.10000000000001,0.0,0.7742857142857142
5,72.36666666666667,0.0,0.9941002949852508
6,74.63333333333334,0.0,0.9587020648967551
7,77.7,0.0,0.8790560471976401
1,78.3,0.0,0.7817109144542773
2,76.3,1.0,0.7079646017699115
3,76.06666666666666,0.0,0.696165191740413
4,79.03333333333333,1.0,0.8171091445427728
5,72.5,0.0,0.7433628318584071
6,73.3,0.0,0.7551622418879056
7,74.3,1.0,0.7610619469026548
1,76.23333333333333,1.0,0.48672566371681414
2,75.33333333333333,1.0,0.6430678466076696
3,72.86666666666667,1.0,0.7374631268436578
4,70.8,0.0,0.7935103244837758
5,71.5,0.0,0.6784660766961652
6,73.66666666666667,1.0,0.7876106194690266
7,73.66666666666667,1.0,0.6342182890855457
1,76.26666666666667,0.0,0.7168141592920354
2,74.8,1.0,0.5545722713864307
3,72.93333333333334,1.0,0.5250737463126843
4,73.36666666666667,0.0,0.6194690265486725
5,68.93333333333332,0.0,0.6991150442477876
6,66.96666666666667,0.0,0.8082595870206489
7,68.3,0.0,0.6578171091445427
1,70.89999999999999,1.0,0.5486725663716814
2,72.3,1.0,0.5545722713864307
3,68.60000000000001,0.0,0.616519174041298
4,69.96666666666665,0.0,0.6755162241887905
5,70.10000000000001,0.0,0.6578171091445427
6,66.66666666666667,1.0,0.6814159292035398
